Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,b000frhc,7,"Saturday, March 23, 2013 05:28:31 UTC",-18.7324,-175.5134,4.5,183.40,46,"Tonga"
us,b000frh9,7,"Saturday, March 23, 2013 05:03:07 UTC",35.3625,-96.5077,2.9,5.10,43,"Oklahoma"
ak,10679773,1,"Saturday, March 23, 2013 04:41:32 UTC",63.3827,-146.4217,1.6,22.90, 6,"Central Alaska"
pr,13082000,0,"Saturday, March 23, 2013 04:31:06 UTC",18.8540,-64.8414,2.9,18.00, 6,"Virgin Islands region"
us,b000frh3,7,"Saturday, March 23, 2013 04:28:34 UTC",-10.9476,165.8148,4.9,20.10,43,"Santa Cruz Islands"
ci,15312505,0,"Saturday, March 23, 2013 04:25:38 UTC",33.2832,-116.7828,1.2,10.20,66,"Southern California"
ak,10679766,1,"Saturday, March 23, 2013 04:22:16 UTC",63.5107,-146.5247,1.9,0.00,27,"Central Alaska"
nc,71958735,0,"Saturday, March 23, 2013 04:18:49 UTC",38.7563,-122.7047,1.3,2.00,13,"Northern California"
ci,15312497,0,"Saturday, March 23, 2013 03:59:38 UTC",33.6623,-116.7620,1.0,13.20,43,"Southern California"
uw,60512071,3,"Saturday, March 23, 2013 03:58:29 UTC",46.7600,-122.2000,1.8,9.90,38,"Washington"
ci,15312489,0,"Saturday, March 23, 2013 03:53:24 UTC",33.5158,-116.4643,1.0,9.60,43,"Southern California"
hv,60481241,2,"Saturday, March 23, 2013 03:53:17 UTC",19.2590,-155.5288,2.1,7.80,39,"Island of Hawaii, Hawaii"
nc,71958725,0,"Saturday, March 23, 2013 03:51:57 UTC",39.6258,-120.0132,2.2,4.80,15,"Northern California"
ci,15312481,0,"Saturday, March 23, 2013 03:23:13 UTC",33.5018,-116.4688,1.1,8.70,52,"Southern California"
hv,60481236,4,"Saturday, March 23, 2013 03:18:56 UTC",19.4935,-155.3745,1.3,4.10,10,"Island of Hawaii, Hawaii"
nn,00406803,1,"Saturday, March 23, 2013 03:11:31 UTC",39.6222,-120.0109,1.2,7.00,16,"Northern California"
nm,032213a,A,"Saturday, March 23, 2013 03:03:51 UTC",36.2821,-89.5240,1.5,8.00, 9,"Tennessee"
us,2013ncad,5,"Saturday, March 23, 2013 02:57:39 UTC",42.8170,-1.8070,4.2,0.00,13,"Pyrenees"
nc,71958710,0,"Saturday, March 23, 2013 02:49:28 UTC",38.7782,-122.7543,1.0,2.10,17,"Northern California"
us,b000frgj,6,"Saturday, March 23, 2013 02:47:50 UTC",12.3570,143.8845,4.9,8.40,67,"Guam region"
nc,71958700,0,"Saturday, March 23, 2013 02:25:21 UTC",38.8403,-122.7747,1.1,2.40,16,"Northern California"
hv,60481221,5,"Saturday, March 23, 2013 02:05:18 UTC",19.4662,-155.6020,1.0,14.00,12,"Island of Hawaii, Hawaii"
nn,00406796,1,"Saturday, March 23, 2013 01:59:25 UTC",38.3655,-118.2335,1.5,14.00,15,"Nevada"
us,b000frfp,6,"Saturday, March 23, 2013 00:55:08 UTC",52.5066,-174.0223,4.3,193.50,65,"Andreanof Islands, Aleutian Islands, Alaska"
nc,71958675,0,"Saturday, March 23, 2013 00:50:15 UTC",37.6435,-119.0273,1.0,0.00, 7,"Long Valley area, California"
ak,10679557,1,"Saturday, March 23, 2013 00:44:13 UTC",59.7263,-140.8363,2.2,11.30,12,"Southeastern Alaska"
ci,15312401,0,"Saturday, March 23, 2013 00:15:50 UTC",36.1060,-117.8470,1.4,2.60,24,"Central California"
ci,15312385,3,"Friday, March 22, 2013 23:56:00 UTC",34.2222,-117.4268,2.5,12.50,84,"Greater Los Angeles area, California"
ci,15312361,1,"Friday, March 22, 2013 22:43:07 UTC",33.5115,-116.4625,1.3,10.20,37,"Southern California"
nc,71958630,2,"Friday, March 22, 2013 22:42:09 UTC",37.4135,-118.5370,1.5,7.20,23,"Central California"
us,b000frdz,6,"Friday, March 22, 2013 22:40:53 UTC",-28.0183,-176.5110,5.3,6.80,112,"Kermadec Islands region"
ak,10679458,2,"Friday, March 22, 2013 22:02:57 UTC",59.8520,-152.8674,2.0,92.90,12,"Southern Alaska"
ak,10679450,1,"Friday, March 22, 2013 21:52:59 UTC",61.2457,-147.1557,2.5,0.00,26,"Southern Alaska"
ci,15312329,1,"Friday, March 22, 2013 21:39:37 UTC",33.4915,-116.9793,1.0,9.40,23,"Southern California"
ak,10679437,1,"Friday, March 22, 2013 21:36:04 UTC",63.4511,-151.2361,1.9,0.00,11,"Central Alaska"
nc,71958615,3,"Friday, March 22, 2013 21:32:29 UTC",38.7553,-122.7133,1.9,2.00,60,"Northern California"
uw,60512026,1,"Friday, March 22, 2013 21:12:47 UTC",49.4082,-120.5092,2.3,0.00, 6,"British Columbia, Canada"
